 SEC PL Code , B310E , B313E , B350E , J106H , J200H , J210F , G532G , J210FZ , J500H , G600F , J700H , J710F , G610F , A510F , A710F , A720F , C900F , G935F , G950F , G955F , T116N , T285Y , T561N 
PL555,11,2,0,3,12,1,4,10,1,2,9,5,5,0,0,2,0,0,0,1,2,0,0
XLSE1318,4,2,0,1,4,0,4,28,1,3,6,8,4,2,1,0,0,0,2,1,1,0,0
PL1013,17,4,0,7,22,1,4,11,1,7,8,10,10,3,0,0,0,0,0,1,0,0,5
PL827,16,6,2,2,21,2,14,19,1,8,16,9,9,2,3,3,1,0,0,1,3,1,0
PL1277,6,8,0,6,16,1,5,5,1,3,7,6,1,0,0,0,0,0,0,0,0,0,0
PL710,9,1,2,3,5,1,4,2,1,3,6,3,10,0,0,4,0,0,1,0,0,0,0
PL798,14,4,0,4,10,1,7,5,1,5,5,5,1,2,1,0,1,0,0,1,1,0,2
PL1279,12,5,4,1,11,1,8,7,1,3,4,4,5,1,0,0,0,0,0,0,0,0,0
PL582,23,6,3,7,21,2,19,4,1,5,16,11,10,4,2,2,3,0,1,3,1,0,0
PL563,12,2,2,4,17,1,10,7,1,2,10,8,24,2,1,0,1,0,0,4,2,0,0
PL046,8,3,2,1,12,2,10,10,1,5,7,7,10,2,1,0,0,0,0,0,0,0,0
PL956,40,16,6,5,50,2,45,80,2,12,34,17,10,1,1,1,1,0,0,2,1,1,0
PL300,80,17,21,7,57,3,50,34,2,18,42,25,44,8,4,2,8,0,1,7,2,0,1
PL496,90,9,20,10,92,4,97,70,4,25,98,57,111,20,9,5,4,1,4,14,4,1,6
PL1034,90,9,20,10,91,5,96,70,4,25,98,57,111,19,9,5,4,1,4,13,5,2,7
PL1177,91,8,21,10,92,4,97,70,4,25,98,56,112,19,9,4,5,1,4,13,4,2,7
PL023,59,10,10,10,20,2,20,15,3,13,25,20,30,4,5,3,2,1,2,2,1,1,1
PL346,80,15,10,15,110,3,80,53,6,40,106,60,121,17,10,5,6,1,5,20,7,2,6
PL569,80,15,9,15,110,3,80,54,6,40,107,61,120,17,10,5,5,1,5,20,7,2,5
PL1150,79,14,9,14,110,4,80,53,6,40,107,61,120,16,10,6,5,1,5,20,7,1,6
XLSE1321,6,1,0,1,15,2,15,9,1,7,10,4,4,0,0,0,0,0,0,0,0,0,0
PL1083,107,10,23,12,124,9,82,58,5,41,116,35,58,8,11,2,2,1,2,5,2,1,2
PL142,53,11,26,14,65,4,60,34,2,22,50,29,82,9,15,4,11,1,4,17,6,2,2
PL1164,80,16,13,8,44,4,25,13,3,20,26,15,15,2,3,0,2,0,0,0,0,0,0
PL1254,63,6,11,4,34,2,30,37,2,6,21,12,26,0,2,2,0,0,0,1,0,0,1
PL1283,27,10,8,4,37,1,20,30,1,15,21,14,20,7,1,2,0,0,0,0,0,0,0
PL1230,43,10,11,5,26,1,15,21,1,10,5,12,7,2,2,2,2,1,0,1,3,1,2
PL988,63,12,10,7,30,3,29,20,1,8,23,12,15,3,2,0,1,0,0,1,2,0,1
PL1204,35,10,10,5,31,1,15,7,1,5,12,5,5,4,0,0,1,0,1,1,1,0,1
PL591,28,5,16,5,24,2,21,22,1,5,21,14,14,2,3,4,3,1,1,5,6,1,2
PL416,41,6,18,5,64,5,53,73,4,39,100,45,102,5,15,5,3,1,1,5,2,4,1
PL1205,41,6,18,6,63,5,54,72,5,39,100,45,102,5,15,5,3,1,2,5,2,3,2
PL1226,40,5,18,6,63,5,53,73,4,40,100,45,102,5,15,5,3,0,2,5,2,3,1
PL1028,22,9,5,8,67,4,56,48,3,33,53,19,45,3,4,3,2,0,1,0,1,1,1
PL1190,23,5,5,2,38,2,21,26,1,5,15,12,5,2,3,1,1,0,0,0,2,0,0
PL1109,37,5,2,6,47,1,22,8,2,1,20,9,5,0,1,0,0,0,0,0,2,1,0
PL709,162,36,22,19,80,3,20,9,1,12,43,10,24,3,1,0,1,0,1,2,2,1,2
PL649,164,23,33,22,132,5,65,25,3,27,46,32,26,6,2,3,2,0,1,1,3,1,2
PL1236,19,2,3,2,36,2,20,12,1,3,14,5,6,2,2,3,1,0,1,0,0,0,2
PL1121,35,6,4,5,41,2,25,20,2,4,16,6,14,0,1,0,1,0,0,0,1,0,1
PL1163,104,11,6,9,81,5,18,14,3,7,36,12,30,3,8,3,3,2,1,4,0,1,1
PL821,69,14,14,6,82,2,40,9,1,11,40,7,10,2,1,0,0,0,0,1,1,0,1
PL1261,18,11,6,4,55,2,29,36,2,2,19,9,18,3,2,4,1,0,0,0,1,0,0
PL1201,21,3,3,8,29,1,24,11,1,4,16,5,8,0,0,4,0,0,0,0,1,0,0
PL1275,15,5,4,2,20,1,15,5,2,5,19,4,7,3,1,1,0,0,0,1,2,0,1
PL885,62,16,13,4,86,3,45,28,2,5,28,10,23,1,1,1,1,0,0,0,1,1,1
PL982,11,3,3,2,19,1,10,9,1,4,15,10,14,3,3,2,2,1,1,2,16,1,1
PL1290,12,3,4,1,19,1,10,9,0,3,15,10,13,2,3,3,2,1,2,1,16,0,2
PL1158,121,22,27,14,143,6,69,68,6,10,51,23,21,2,1,3,3,1,0,1,2,1,0
PL780,46,10,2,3,67,5,28,57,3,16,31,16,5,1,1,0,0,0,0,0,4,0,2
PL879,39,20,8,4,77,5,42,36,3,17,34,15,9,3,2,2,1,0,0,0,2,0,1
PL1159,68,7,12,6,70,2,41,28,2,10,33,16,26,2,2,0,1,0,1,1,1,0,1
PL750,17,6,5,5,55,3,46,24,1,6,35,7,6,2,2,0,1,0,0,1,2,0,1
PL1248,16,6,5,2,17,1,14,12,1,4,16,14,10,7,4,0,3,0,2,8,31,1,2
PL1140,70,25,21,7,91,7,56,91,2,9,66,24,33,3,1,2,0,0,0,0,3,1,0
PL650,69,11,10,5,90,4,57,34,3,10,48,11,25,3,2,0,1,0,0,0,3,0,1
PL1116,34,5,11,10,18,1,5,5,1,2,4,5,20,2,5,0,1,0,1,2,2,0,2
PL313,70,6,11,8,72,6,67,27,2,11,42,20,30,4,4,0,2,0,1,2,2,1,2
PL1171,33,12,6,7,53,3,41,37,2,10,31,15,9,3,1,2,0,0,0,0,0,1,0
PL1108,25,5,5,7,45,1,32,16,2,13,20,7,5,0,0,0,0,0,0,0,1,1,0
PL968,46,6,8,10,99,3,56,38,3,13,32,12,15,1,1,1,0,0,0,0,1,1,0
PL1003,22,6,4,5,62,2,32,11,2,5,20,9,10,2,0,0,0,0,0,0,1,0,0
PL1189,55,10,8,5,77,2,27,8,2,7,19,6,6,2,0,0,1,0,0,0,1,0,0
PL1176,50,5,7,2,34,2,25,8,1,8,18,12,6,0,2,0,3,0,2,1,2,1,1
PL1183,26,3,7,5,44,1,20,20,2,6,28,9,14,0,1,2,0,0,0,1,0,1,2
PL465,34,5,4,5,64,1,27,33,3,6,30,9,10,3,2,0,0,0,0,1,0,1,0
PL1009,34,6,6,7,61,4,34,49,3,16,34,17,30,3,2,1,0,0,0,1,3,0,2
PL1135,34,4,3,7,25,5,22,44,2,11,25,10,5,1,2,0,1,0,0,0,1,0,1
PL1160,48,9,10,6,57,3,33,18,2,6,17,8,20,4,1,2,2,0,0,2,0,1,1
PL1245,37,16,8,6,62,4,35,31,2,6,34,11,14,3,2,0,0,0,0,1,1,0,0
PL1243,17,7,6,4,26,3,18,30,1,7,5,7,10,0,0,0,0,0,0,0,1,0,0
PL1154,59,9,6,5,95,7,61,73,4,12,63,29,37,4,4,0,0,0,1,0,1,0,0
PL440,104,24,15,7,97,6,43,54,5,12,61,23,40,4,7,3,2,0,1,1,1,1,2
